,Actual,Logistic Regression,Stepwise Logistic Regression 3,Stepwise Logistic Regression,XGBOOST,Random Forest,NN,KNN-5,Lasso,LDA,SVM Linear,SVM Poly,SVM RBF,Naive Bayes
1925,0.0,0.007137005939526618,0.01165275103164115,0.007562801097805774,0.0016143043,0.0,0.0,0.0,0.005065093876331157,8.173311975088109e-40,0.0,0.0,0.0,1.0
11,0.0,1.9496837801010087e-05,0.002069986870314537,1.9612167915556e-05,0.0003738883,0.0,0.0,0.0,0.000336014429238838,2.849397907029882e-41,0.0,0.0,0.0,1.0
1885,0.0,0.0003835369965154118,0.002069986870314537,0.0003941778371590261,0.00048530265,0.0,0.0,0.0,0.000336014429238838,1.0489448432448621e-40,0.0,0.0,0.0,1.0
1209,0.0,0.003306387437754724,0.01165275103164115,0.0037430733737167606,0.0010022618,0.0,0.0,0.0,0.005065093876331157,7.710900466997256e-40,0.0,0.0,0.0,1.0
1726,0.0,0.00018728390320226084,0.002069986870314537,0.00019055746305078383,0.00024251525,0.0,0.0,0.0,0.000336014429238838,8.258527263868312e-42,0.0,0.0,0.0,0.0
1465,0.0,0.003721278872351929,0.002069986870314537,0.0033761932092433674,0.0011117555,0.0,0.0,0.0,0.000336014429238838,8.46196234167938e-41,0.0,0.0,0.0,1.0
2077,0.0,3.802769037791797e-06,0.002069986870314537,4.536187541035009e-06,0.00038223472,0.0,0.0,0.0,0.000336014429238838,3.7109380129736397e-44,0.0,0.0,0.0,0.0
1157,0.0,0.00016804996191114037,0.002069986870314537,0.00017570455428309734,0.00046209584,0.0,0.0,0.0,0.000336014429238838,2.1677467652811724e-40,0.0,0.0,0.0,1.0
1077,0.0,0.001001304408088013,0.002069986870314537,0.001017090030742951,0.00027366765,0.0,0.0,0.0,0.000336014429238838,3.3855548671585835e-41,0.0,0.0,0.0,1.0
981,0.0,6.526339798242278e-05,0.002069986870314537,6.410987762960798e-05,0.00025981857,0.0,0.0,0.0,0.000336014429238838,1.4243093860564072e-41,0.0,0.0,0.0,1.0
49,0.0,5.5800042777703506e-05,0.002069986870314537,5.49686307010528e-05,0.00029241253,0.0,0.0,0.0,0.000336014429238838,2.8334021782578663e-42,0.0,0.0,0.0,0.0
2076,0.0,6.845156169488695e-06,0.002069986870314537,7.044811361911881e-06,0.00025981857,0.0,0.0,0.0,0.000336014429238838,1.626522098315085e-44,0.0,0.0,0.0,0.0
2032,0.0,0.00012142329212895147,0.002069986870314537,0.00012308685056096515,0.00023517081,0.0,0.0,0.0,0.000336014429238838,6.847945505059351e-42,0.0,0.0,0.0,0.0
965,0.0,6.431054912815415e-05,0.002069986870314537,6.89369395107624e-05,0.00040012007,0.0,0.0,0.0,0.000336014429238838,9.771362918671496e-43,0.0,0.0,0.0,0.0
274,0.0,0.0009538541468174153,0.002069986870314537,0.001159942759687112,0.00032842235,0.0,0.0,0.0,0.000336014429238838,3.5794543790992955e-41,0.0,0.0,0.0,1.0
2033,0.0,1.780396200502615e-05,0.002069986870314537,2.2835342370986587e-05,0.000351386,0.0,0.0,0.0,0.000336014429238838,5.936669000806123e-42,0.0,0.0,0.0,0.0
797,0.0,0.00047629656362386163,0.002069986870314537,0.00045623790959968915,0.00036252404,0.0,0.0,0.0,0.000336014429238838,2.1097916332850476e-41,0.0,0.0,0.0,1.0
514,0.0,0.00018204425766569953,0.002069986870314537,0.00017900904607358556,0.000420736,0.0,0.0,0.0,0.000336014429238838,8.046314138083447e-42,0.0,0.0,0.0,1.0
397,0.0,1.713397369126669e-06,0.002069986870314537,2.4752436745823104e-06,0.00024251525,0.01,0.0,0.0,0.000336014429238838,5.289601669153001e-42,0.0,0.0,0.0,0.0
2085,0.0,0.17437159288310725,0.01165275103164115,0.17570558179192214,0.0039581284,0.05,0.0,0.0,0.005065093876331157,7.996436858684897e-40,0.0,0.0,0.0,1.0
