,Actual,Logistic Regression,Stepwise Logistic Regression 3,Stepwise Logistic Regression,XGBOOST,Random Forest,NN,KNN-5,Lasso,LDA,SVM Linear,SVM Poly,SVM RBF,Naive Bayes
1019,0.0,8.336304684545631e-05,0.0003977205505587004,7.2397614168375e-05,0.00022436395,0.0,0.0,0.0,-0.0015971557573055918,3.646607578630202e-33,0.0,0.0,0.0,1.0
2040,0.0,2.04015236786069e-05,0.0005195321064973197,2.5895321266718756e-05,0.0003494454,0.0,0.0,0.0,0.0007367247317399466,2.6419684376198422e-34,0.0,0.0,0.0,0.0
1908,0.0,1.2896332702914958e-05,5.027330269355331e-05,1.704093117754059e-05,0.00022887671,0.0,0.0,0.0,-0.00291009335394351,1.0773642088938941e-31,0.0,0.0,0.0,0.0
1491,0.0,1.1386832417939099e-05,0.00016669069669900306,1.3115002392070776e-05,0.0003380785,0.0,0.0,0.0,-0.0006377860090113841,5.451243079016463e-34,0.0,0.0,0.0,0.0
1369,0.0,0.0003319177441682685,0.00011735044977825645,0.00029266404601829225,0.0006353574,0.0,0.0,0.0,0.006525957047575004,6.906516965450921e-31,0.0,0.0,0.0,1.0
1253,0.0,0.0007587738006625715,0.0003116276939858179,0.0010657843426627308,0.0006851772,0.01,0.0,0.0,0.0086438458056643,3.525979747574453e-30,0.0,0.0,0.0,1.0
473,0.0,0.0015387280038846485,0.0003116276939858179,0.0013446095159224847,0.0014166799,0.0,0.0,0.0,0.005593646281120895,7.562679744971123e-31,0.0,0.0,0.0,1.0
447,0.0,0.0013027852814081282,0.0009709655803552699,0.001192319428149837,0.0004242619,0.01,0.0,0.0,0.002459171202122146,3.0678432631313197e-30,0.0,0.0,0.0,1.0
727,0.0,4.148571866102909e-06,1.991214315422516e-05,5.869281422899552e-06,0.0004373936,0.0,0.0,0.0,-0.004970907260090226,1.006766763846104e-32,0.0,0.0,0.0,0.0
31,0.0,8.246340841202307e-05,0.00013909636356316542,6.679639719306428e-05,0.00042896633,0.0,0.0,0.0,-0.0007482116959740106,2.5169577984547014e-30,0.0,0.0,0.0,0.0
1619,0.0,5.21274805530637e-06,5.388024118123081e-06,7.6206248650696475e-06,0.00035607046,0.0,0.0,0.0,-0.0033932785317747237,5.072899236641411e-32,0.0,0.0,0.0,1.0
459,0.0,2.6449481836638263e-06,0.00011735044977825645,3.961867519845189e-06,0.00035607046,0.0,0.0,0.0,7.769340517713857e-05,4.794884517285935e-33,0.0,0.0,0.0,0.0
1185,0.0,0.0004832894487701826,0.0006980127768481748,0.0005833132427273507,0.00025552994,0.01,0.0,0.0,0.0009761240328262462,4.526390278452141e-38,0.0,0.0,0.0,0.0
405,0.0,0.0001264319941460606,9.287713670024867e-06,0.00014785068488607113,0.001541515,0.01,0.0,0.0,0.003668404498396411,2.133370514996058e-31,0.0,0.0,0.0,1.0
1571,1.0,0.0545042914379212,0.47400568120816033,0.038297800452195316,0.48140156,0.45,0.0,0.6,0.66664694940704,1.0,0.0,0.0,0.0,0.0
785,0.0,4.30305133532461e-06,1.1433284161919693e-05,4.929595925687525e-06,0.00053766416,0.0,0.0,0.0,-0.0035631647483878688,2.5187283414120715e-32,0.0,0.0,0.0,0.0
1184,0.0,2.943658024060926e-06,1.1433284161919693e-05,2.7286442498905365e-06,0.000263824,0.0,0.0,0.0,-0.0035631647483878688,5.4848712111840085e-33,0.0,0.0,0.0,0.0
907,0.0,7.747568565242654e-05,0.00016669069669900306,5.605183372774407e-05,0.0005649162,0.0,0.0,0.0,-0.0005443077363774329,3.2130274101526283e-32,0.0,0.0,0.0,1.0
147,0.0,0.0005701749294681898,0.0009709655803552699,0.0006117508758096262,0.0005051587,0.01,0.0,0.0,0.002459171202122146,3.1203781350713487e-30,0.0,0.0,0.0,0.0
719,0.0,2.3963181875820915e-06,5.027330269355331e-05,2.337940425498281e-06,0.00026913022,0.0,0.0,0.0,-0.0008773372586617758,7.984788449233219e-32,0.0,0.0,0.0,0.0
890,0.0,0.00011706927457034962,0.0036183729361924924,0.00016061570850899235,0.0005190233,0.0,0.0,0.0,0.0008939081052926961,5.618581800069365e-32,0.0,0.0,0.0,0.0
1599,0.0,4.5392571263621265e-06,0.00011735044977825645,8.004485309608306e-06,0.0004206524,0.0,0.0,0.0,0.022701133458787222,3.3991617907038434e-28,0.0,0.0,0.0,0.0
310,0.0,0.0005028582900534474,5.694774422721903e-05,0.0006410967540622129,0.0020034066,0.01,0.0,0.0,0.006728811370062867,1.2854290376203188e-30,0.0,0.0,0.0,0.0
213,0.0,0.017012616298813642,0.014986922882046392,0.018832228524818227,0.0043377685,0.0,0.0,0.0,0.005558017671673733,9.54205400874619e-30,0.0,0.0,0.0,1.0
1432,0.0,8.089845349875412e-05,0.0006980127768481748,0.00011536954733238853,0.00030046966,0.0,0.0,0.0,0.005580925947527999,1.6624676133368788e-28,0.0,0.0,0.0,0.0
1279,0.0,0.00011786089769922913,0.0002489841332577215,0.00010531865226314872,0.00042896633,0.01,0.0,0.0,-9.219281143600482e-05,2.5781873349044927e-30,0.0,0.0,0.0,0.0
929,0.0,0.011181217510746364,0.0036183729361924924,0.011598026719711782,0.010128595,0.0,0.0,0.0,0.011409814701495637,2.9794659146387626e-29,0.0,0.0,0.0,0.0
429,0.0,4.145868901647053e-06,8.627962385336319e-07,3.6426622141235895e-06,0.00026913022,0.0,0.0,0.0,-0.005456824553890293,1.2414280881224064e-31,0.0,0.0,0.0,1.0
1285,0.0,1.5435823376695043e-06,4.562044178850706e-07,1.1413845047683695e-06,0.00042896633,0.0,0.0,0.0,-0.007192140348834391,8.13050795413914e-33,0.0,0.0,0.0,1.0
1229,0.0,0.000714279505931117,0.0005195321064973197,0.0013320607604975483,0.00070417876,0.0,0.0,0.0,0.0017541681610016178,1.03055548497097e-30,0.0,0.0,0.0,0.0
1377,0.0,0.0017677199365015623,0.006744291454708448,0.0019689178895768798,0.0012023844,0.0,0.0,0.0,0.005570945064342741,2.2509508163252265e-29,0.0,0.0,0.0,0.0
721,0.0,1.28832505937789e-07,4.589984692837232e-06,1.3780283015858002e-07,0.00030847482,0.0,0.0,0.0,-0.005606621766346214,1.3165745026052551e-33,0.0,0.0,0.0,0.0
143,0.0,0.02990698069660757,0.014986922882046392,0.02449903625718581,0.0064990646,0.0,0.0,0.0,0.012006281314071596,9.84288391172137e-30,0.0,0.0,0.0,1.0
96,0.0,7.705429016038496e-06,0.0003977205505587004,8.190491597749475e-06,0.0003494454,0.0,0.0,0.0,0.00043560033797614486,9.045335183243917e-33,0.0,0.0,0.0,0.0
1404,0.0,1.246723729892771e-05,8.385765619423165e-07,9.501192996224048e-06,0.0004062533,0.0,0.0,0.0,0.0004733192583536638,2.587994490783512e-30,0.0,0.0,0.0,1.0
880,0.0,0.00024273149066887916,0.00016669069669900306,0.0002638468785773905,0.00034500545,0.0,0.0,0.0,-0.0006377860090113841,8.589143494918547e-31,0.0,0.0,0.0,1.0
575,0.0,0.00046210428504684997,0.00016669069669900306,0.0005987324819090898,0.0006353574,0.01,0.0,0.0,0.012883618700301677,2.778747263391869e-28,0.0,0.0,0.0,1.0
228,0.0,0.0005502827089637003,0.0003977205505587004,0.0005011732907619228,0.00026913022,0.0,0.0,0.0,0.001453043767237816,5.177115890293623e-31,0.0,0.0,0.0,1.0
