,Actual,Logistic Regression,Stepwise Logistic Regression 3,Stepwise Logistic Regression,XGBOOST,Random Forest,NN,KNN-5,Lasso,LDA,SVM Linear,SVM Poly,SVM RBF,Naive Bayes
1225,0.0,0.001604796208789286,0.007057919747406721,0.0016396483195067417,0.0016803504,0.0,0.0,0.0,0.010005885815185401,0.0006213469772166029,0.0,0.0,0.0,1.0
1496,0.0,0.013954056110287823,0.012404541558433705,0.01278504073519731,0.031306792,0.01,0.0,0.0,0.010005885815185401,0.006654284969783229,0.0,0.0,0.0,1.0
1100,0.0,0.020806593835896205,0.011560430965556524,0.017866210168887738,0.011358699,0.0,0.0,0.0,0.010005885815185401,0.011870636309645275,0.0,0.0,0.0,1.0
1143,0.0,0.016417638253338404,0.012404541558433705,0.014093071035905801,0.018183352,0.0,0.0,0.0,0.010005885815185401,0.007789535689419655,0.0,0.0,0.0,1.0
1338,0.0,0.005742432443715803,0.012615272826514763,0.005831820125797311,0.0018268644,0.0,0.0,0.0,0.010005885815185401,0.0021104337878581243,0.0,0.0,0.0,1.0
917,0.0,0.00830256601841549,0.012404541558433705,0.007580315468543095,0.008671016,0.0,0.0,0.0,0.010005885815185401,0.0026828401160240204,0.0,0.0,0.0,1.0
657,0.0,0.012331744324053375,0.012404541558433705,0.012269204031601684,0.013841501,0.01,0.0,0.0,0.010005885815185401,0.005536396591945807,0.0,0.0,0.0,1.0
2090,0.0,0.005902159639860732,0.00513091149810895,0.006127854675648408,0.0053198175,0.02,0.0,0.0,0.010005885815185401,0.007248749469692885,0.0,0.0,0.0,1.0
890,0.0,0.012334863325217566,0.012404541558433705,0.013423095176594922,0.011515165,0.01,0.0,0.0,0.010005885815185453,0.02987927210790696,0.0,0.0,0.0,1.0
93,0.0,0.003521826986427836,0.004835714186632824,0.0030877378461056353,0.0040948372,0.0,0.0,0.0,0.010005885815185401,0.00346484386329896,0.0,0.0,0.0,1.0
465,0.0,0.005382214980741062,0.007057919747406721,0.005378369610996874,0.008992518,0.0,0.0,0.0,0.010005885815185401,0.0017239097284698897,0.0,0.0,0.0,1.0
737,0.0,0.010702455580151083,0.012404541558433705,0.010845467083016279,0.01352929,0.0396254862517236,0.0,0.2,0.010005885815185401,0.004840001127919891,0.0,0.0,0.0,1.0
556,0.0,0.007568323611748729,0.012404541558433705,0.007645721295393653,0.005518389,0.0,0.0,0.0,0.010005885815185401,0.002631339333555322,0.0,0.0,0.0,1.0
1494,0.0,0.012576067887810946,0.011083682075423568,0.012736310366516713,0.0032541398,0.01,0.0,0.0,0.010005885815185401,0.008477071552897666,0.0,0.0,0.0,1.0
1305,0.0,0.004672277588668092,0.012615272826514763,0.003979005991263793,0.0022859743,0.0,0.0,0.0,0.010005885815185401,0.0030862275449499983,0.0,0.0,0.0,1.0
1737,0.0,0.005199478693485849,0.012404541558433705,0.005223870243982139,0.01352929,0.007698412698412697,0.0,0.0,0.010005885815185401,0.0004718502182969883,0.0,0.0,0.0,0.0
560,0.0,0.012993200179511838,0.009976309046787531,0.013288098389931413,0.0052702655,0.01,0.0,0.0,0.010005885815185401,0.008337396327019393,0.0,0.0,0.0,1.0
2034,0.0,0.007341923014680245,0.012404541558433705,0.006383892784574549,0.0014676137,0.0,0.0,0.0,0.010005885815185401,0.002451097206574403,0.0,0.0,0.0,1.0
318,0.0,0.009641119994984326,0.012615272826514763,0.00980673234807174,0.01493232,0.0,0.0,0.0,0.010005885815185401,0.0010783316664220255,0.0,0.0,0.0,0.0
1920,0.0,0.01851455467021929,0.011199522378859366,0.018728083792015744,0.013910429,0.0,0.0,0.0,0.010005885815185401,0.011658114703290829,0.0,0.0,0.0,1.0
1560,0.0,0.004719401500471377,0.012404541558433705,0.004798494607944915,0.0051991227,0.0,0.0,0.0,0.010005885815185401,0.0019949965512681134,0.0,0.0,0.0,1.0
1438,0.0,0.0029987425273376085,0.010039410603499164,0.0031650741736152384,0.0043794913,0.09,0.0,0.0,0.010005885815185401,0.0021298552813104306,0.0,0.0,0.0,1.0
1183,0.0,0.018007941453309396,0.012404541558433705,0.017992712421434583,0.017322816,0.0,0.0,0.0,0.010005885815185453,0.018845537364274623,0.0,0.0,0.0,0.0
1810,0.0,0.0047530366732507255,0.007057919747406721,0.004843277555921822,0.0015554561,0.0,0.0,0.0,0.010005885815185401,0.002022550265935479,0.0,0.0,0.0,1.0
975,0.0,0.007721451384010971,0.010086776445867068,0.007829497577505245,0.0011012334,0.0,0.0,0.0,0.010005885815185401,0.002935039117388223,0.0,0.0,0.0,1.0
939,0.0,0.002787698346995594,0.004445216839799847,0.0029862965117281037,0.0017011791,0.0,0.0,0.0,0.010005885815185401,0.0012196045797572314,0.0,0.0,0.0,1.0
355,0.0,0.006362140037011058,0.012404541558433705,0.00643842062646046,0.007940477,0.0565,0.0,0.2,0.010005885815185401,0.002013602702642177,0.0,0.0,0.0,1.0
1523,0.0,0.003070529146397226,0.005392408906723082,0.0030734598170332316,0.0015311313,0.0,0.0,0.0,0.010005885815185401,0.0009878457784389912,0.0,0.0,0.0,1.0
817,0.0,0.004799207702426207,0.012615272826514763,0.0042875371748811,0.0020315005,0.0,0.0,0.0,0.010005885815185401,0.0018890362979087705,0.0,0.0,0.0,1.0
666,0.0,0.0068771787602814,0.012615272826514763,0.006972572952628495,0.008258606,0.0,0.0,0.0,0.010005885815185401,0.002303911858688426,0.0,0.0,0.0,1.0
1812,0.0,0.007261298794785054,0.007746792840849313,0.006311954588016977,0.005131019,0.0,0.0,0.0,0.010005885815185401,0.003689969177948372,0.0,0.0,0.0,1.0
1269,0.0,0.008819445470353664,0.007057919747406721,0.008982224522801376,0.009063744,0.0,0.0,0.0,0.010005885815185453,0.025574390221459666,0.0,0.0,0.0,1.0
2061,0.0,0.010871141773924191,0.008921548530735426,0.010927528657098663,0.00556278,0.02,0.0,0.0,0.010005885815185401,0.0071385340735311276,0.0,0.0,0.0,1.0
1955,0.0,0.010163307166205143,0.008655986733159881,0.010211244807547582,0.0051571713,0.0,0.0,0.0,0.010005885815185401,0.006923663287720044,0.0,0.0,0.0,1.0
1926,0.0,0.005122718712615898,0.007654201379554381,0.005090192859511711,0.0036361783,0.0,0.0,0.0,0.010005885815185401,0.0025537240664666645,0.0,0.0,0.0,1.0
1067,0.0,0.007149490093085006,0.009220464979277644,0.007392910127320639,0.0067171045,0.0,0.0,0.0,0.010005885815185401,0.00447856364689151,0.0,0.0,0.0,1.0
78,0.0,0.027566439082412204,0.009333357101776196,0.027764764121462743,0.00900068,0.07,0.0,0.2,0.010005885815185453,0.1269476175067973,0.0,0.0,0.0,1.0
2049,0.0,0.008674144453005747,0.011329500325087465,0.008780674325123949,0.0055495403,0.0,0.0,0.0,0.010005885815185401,0.003841953888170567,0.0,0.0,0.0,1.0
850,0.0,0.004489088644734106,0.012404541558433705,0.004552321384528635,0.009689584,0.0,0.0,0.0,0.010005885815185401,0.0022325569927098246,0.0,0.0,0.0,1.0
696,0.0,0.005326013894260833,0.012404541558433705,0.005411973829900035,0.0045680627,0.0,0.0,0.0,0.010005885815185401,0.0020836543370136087,0.0,0.0,0.0,1.0
1459,0.0,0.0051873446215583525,0.005574923752611096,0.0051346785480951935,0.0151401535,0.0,0.0,0.0,0.010005885815185401,0.004124678133949789,0.0,0.0,0.0,1.0
659,0.0,0.0019683651579522096,0.010086776445867068,0.0019974758636502297,0.004656659,0.0,0.0,0.0,0.010005885815185401,0.0010545095682375895,0.0,0.0,0.0,1.0
1544,0.0,0.016726995953766508,0.012404541558433705,0.01753978682921955,0.01622136,0.0,0.0,0.0,0.010005885815185401,0.008782670702623703,0.0,0.0,0.0,1.0
408,0.0,0.008378134598188773,0.01088470204700153,0.009078712398151534,0.002958931,0.0,0.0,0.0,0.010005885815185401,0.0043945750759550655,0.0,0.0,0.0,1.0
1084,0.0,0.01792576323794167,0.012404541558433705,0.015306077802433014,0.004631663,0.0,0.0,0.0,0.010005885815185401,0.013176406126470724,0.0,0.0,0.0,1.0
682,0.0,0.006504578935649243,0.012404541558433705,0.0065929410531884594,0.01352929,0.06,0.0,0.0,0.010005885815185401,0.0020746246760236166,0.0,0.0,0.0,1.0
1002,0.0,0.011942238314820346,0.009875154518922112,0.012001322363000706,0.007748872,0.01,0.0,0.0,0.010005885815185401,0.006783537782442242,0.0,0.0,0.0,1.0
328,0.0,0.003112818065639886,0.00721612183299588,0.0033421401373013933,0.02119476,0.02,0.0,0.0,0.010005885815185401,0.07443545022611837,0.0,0.0,0.0,1.0
574,0.0,0.006932594521385591,0.012404541558433705,0.00701542154830694,0.0058475677,0.0,0.0,0.0,0.010005885815185401,0.0022446277390925375,0.0,0.0,0.0,1.0
99,0.0,0.01827099146353536,0.011971401485297104,0.018950845765341787,0.008436403,0.02,0.0,0.0,0.010005885815185401,0.010780255840353256,0.0,0.0,0.0,1.0
101,0.0,0.006801376248542825,0.007580680982896788,0.005997411166310478,0.004432111,0.01,0.0,0.0,0.010005885815185401,0.0032751398788498794,0.0,0.0,0.0,1.0
989,0.0,0.0065504347298041355,0.012404541558433705,0.006636763323796811,0.008752204,0.0,0.0,0.0,0.010005885815185401,0.0021624292819772857,0.0,0.0,0.0,1.0
1256,0.0,0.009543135685385274,0.008187111849565476,0.009951124387035666,0.007500905,0.02,0.0,0.0,0.010005885815185401,0.005176826453891483,0.0,0.0,0.0,1.0
1416,0.0,0.014010312517517522,0.01114000486355233,0.01410928070299625,0.0016782184,0.11,0.0,0.2,0.010005885815185401,0.06450098787900217,0.0,0.0,0.0,1.0
526,0.0,0.0076577551578063145,0.012404541558433705,0.0083031256411721,0.007940477,0.0,0.0,0.2,0.010005885815185401,0.002666758360434962,0.0,0.0,0.0,1.0
