,Actual,Logistic Regression,Stepwise Logistic Regression 3,Stepwise Logistic Regression,XGBOOST,Random Forest,NN,KNN-5,Lasso,LDA,SVM Linear,SVM Poly,SVM RBF,Naive Bayes
327,1.0,0.49067982774919333,0.5281441463534989,0.4929701401222621,0.5310807,0.54,0.0,0.4,0.5154465139408027,0.4959289828087982,1.0,1.0,0.0,0.9999965228174852
12,1.0,0.4578790929465067,0.5281441463534989,0.46145143114880693,0.4611141,0.42,1.0,0.6,0.4949598982921394,0.45448070367475607,1.0,1.0,1.0,0.9999836311300626
1684,0.0,0.5360444229826606,0.5281441463534989,0.5411018594525228,0.54499096,0.46,0.0,0.4,0.5405600634260476,0.5326758249267591,1.0,1.0,1.0,0.9999974441786866
1224,0.0,0.5613233810717396,0.5281441463534989,0.5648841587022734,0.5343637,0.58,1.0,0.6,0.5455231534438797,0.5621847583529559,1.0,1.0,1.0,0.9999968159611925
311,0.0,0.21434414344244995,0.3507452037101161,0.21677119401286501,0.25258085,0.3,0.0,0.4,0.3008722919126618,0.19761945620517898,0.0,0.0,0.0,0.8754210165281666
349,0.0,0.5255999045716258,0.6075054035064477,0.5262684983241219,0.5364846,0.5446055989933699,1.0,0.6,0.534501418581335,0.5274112685146729,1.0,1.0,1.0,0.9999901896049125
1070,1.0,0.5666537259197963,0.42760667406020514,0.5703626032485997,0.634964,0.835,1.0,0.4,0.5399962502705014,0.5555658392227842,0.0,1.0,1.0,0.9935625811396142
248,0.0,0.20288909438612604,0.42760667406020514,0.18913358720676263,0.42649305,0.4647619047619048,0.0,0.2,0.30924886510072647,0.14903738049022155,0.0,0.0,0.0,1.4725007371532357e-19
1195,1.0,0.6819311250198609,0.6075054035064477,0.6864877971825415,0.6912597,0.61,1.0,0.8,0.6571409246161305,0.6860069297428486,1.0,1.0,1.0,0.9999988859783807
933,0.0,0.454105301029941,0.5281441463534989,0.45565793011815126,0.44806853,0.46,0.0,0.6,0.4993142072872967,0.4516695087686239,1.0,1.0,0.0,0.9999958288849932
2098,1.0,0.5415315270862792,0.5281441463534989,0.542054983314172,0.6031783,0.59,0.0,0.2,0.5254490426294974,0.542901855866923,1.0,1.0,1.0,0.999997083717499
227,0.0,0.5921826100807582,0.6075054035064477,0.5853750284238298,0.5619217,0.73,1.0,0.6,0.5697819917898234,0.6005066729298749,1.0,1.0,1.0,0.9999946183607913
1599,0.0,0.28089902290056723,0.3507452037101161,0.28826151600474237,0.30430168,0.46166666666666667,1.0,0.4,0.3387989778297189,0.2169807921439709,0.0,0.0,0.0,2.0635979115055674e-20
763,1.0,0.5524127323606592,0.5281441463534989,0.5544998142702702,0.49803188,0.42,0.0,0.6,0.5693362842191928,0.5548855802057051,1.0,1.0,0.0,0.9999979448983553
1202,1.0,0.5304995768055837,0.6075054035064477,0.53563875092133,0.5167978,0.3746666666666667,0.0,0.6,0.5431399081059483,0.5336157186279255,1.0,1.0,1.0,0.9999910151227863
920,0.0,0.5726051790701842,0.5281441463534989,0.5676223147849165,0.38743192,0.5,1.0,0.6,0.5698778961309182,0.5758942147465735,1.0,0.0,0.0,0.9999959848648987
