,Actual,Logistic Regression,Stepwise Logistic Regression 3,Stepwise Logistic Regression,XGBOOST,Random Forest,NN,KNN-5,Lasso,LDA,SVM Linear,SVM Poly,SVM RBF,Naive Bayes
24,0.0,0.016626689669819703,0.01662666470887655,0.016627284879828032,0.00032666742,0.0,0.0,0.0,-0.0020075521157444653,1.4135971692597817e-17,0.0,0.0,0.0,0.0
2329,0.0,0.009610565170588265,0.009610548623383895,0.009610958593993094,0.00077385345,0.0,0.0,0.0,0.006281282266780981,4.3347062927807956e-17,0.0,0.0,0.0,0.0
95,0.0,0.016376799430961972,0.016376774734319866,0.016377388380759535,0.00032666742,0.0,0.0,0.0,-0.011290142806641465,1.9331881935100074e-18,0.0,0.0,0.0,0.0
1950,0.0,0.010492355992382869,0.010492338330582957,0.010492777259729018,0.00037164806,0.0,0.0,0.0,-0.006391875690720982,1.4540964689548894e-17,0.0,0.0,0.0,0.0
615,0.0,0.014440749104098823,0.014440726592990246,0.014441285369408812,0.00035029347,0.0,0.0,0.0,-0.0011985259463464133,1.8511106813278967e-17,0.0,0.0,0.0,0.0
1216,0.0,0.012499505096867978,0.012499484944415454,0.012499986333814526,0.00028573468,0.0,0.0,0.0,-0.003637777578933063,5.9438462642976356e-18,0.0,0.0,0.0,0.0
2057,0.0,0.010222699111234782,0.010222681700107619,0.010223111567453622,0.009271674,0.0,0.0,0.0,0.031930317291166764,2.2079927321089345e-15,0.0,0.0,0.0,1.0
1129,0.0,0.01276337444527429,0.012763353915378186,0.012763863084405054,0.00071787,0.0,0.0,0.0,0.005633415683608786,5.896047620395903e-17,0.0,0.0,0.0,0.0
1747,0.0,0.010978737801022839,0.010978719483160537,0.010979173781673988,0.00037164806,0.0,0.0,0.0,-0.0019463124888958877,9.036409066904015e-18,0.0,0.0,0.0,0.0
1260,0.0,0.012375012027331872,0.012374991946271723,0.012375489562407636,0.00030043157,0.0,0.0,0.0,-0.0009739482307430363,1.7872538045601998e-17,0.0,0.0,0.0,1.0
660,0.0,0.014296420832214022,0.014296398445802395,0.014296953115298584,0.00034346842,0.0,0.0,0.0,-0.0027211135446158375,9.650412183255623e-18,0.0,0.0,0.0,1.0
1761,0.0,0.010946909098144072,0.010946890802379493,0.01094734409534849,0.0003907618,0.0,0.0,0.0,-0.0005309250486677467,1.65275071613953e-17,0.0,0.0,0.0,1.0
546,0.0,0.014671142695906162,0.014671119949952783,0.014671685152122482,0.0007416069,0.0,0.0,0.0,0.0027233861885680288,2.3774611124588154e-17,0.0,0.0,0.0,0.0
468,0.0,0.014906782534038968,0.014906759514858372,0.014907331780120292,0.00035029347,0.0,0.0,0.0,-0.006141155368862394,1.0056991593637298e-17,0.0,0.0,0.0,0.0
2243,0.0,0.009792010331218147,0.009791993588481797,0.009792409723995485,0.00040451004,0.0,0.0,0.0,-0.0033537434258083428,1.710153089541411e-17,0.0,0.0,0.0,0.0
10,0.0,0.01668474720208955,0.016684722117827316,0.01668534375460304,0.00065810606,0.0,0.0,0.0,0.0030696618427319376,4.14633986523522e-17,0.0,0.0,0.0,1.0
2306,0.0,0.00966130709369855,0.00966129045143686,0.009661702194666135,0.0012839938,0.0,0.0,0.0,0.0020121023093723368,1.5887708695349054e-17,0.0,0.0,0.0,1.0
2071,0.0,0.01019192180362495,0.010191904468620745,0.010192333572324146,0.00092920696,0.0,0.0,0.0,-0.00011862819799946661,1.0459083155108399e-17,0.0,0.0,0.0,0.0
108,0.0,0.016318017649182042,0.016317993023851392,0.01631860504663003,0.00035029347,0.0,0.0,0.0,-0.011034616315285944,2.9922441513535864e-18,0.0,0.0,0.0,0.0
166,0.0,0.016120937720527608,0.016120913232865536,0.016121519521179215,0.00036830932,0.0,0.0,0.0,-0.0012836974096089842,2.0450605013270715e-17,0.0,0.0,0.0,1.0
33,0.0,0.01659140897138482,0.016591383906131404,0.016592002743006377,0.042855196,0.02,0.0,0.2,0.031296278852295384,2.5417516037461904e-15,0.0,0.0,0.0,1.0
1290,0.0,0.012279926802470269,0.012279906885794315,0.01228040167025449,0.00028573468,0.0,0.0,0.0,-0.005097951597797926,4.157646515537942e-18,0.0,0.0,0.0,0.0
