,Actual,Logistic Regression,Stepwise Logistic Regression 3,Stepwise Logistic Regression,XGBOOST,Random Forest,NN,KNN-5,Lasso,LDA,SVM Linear,SVM Poly,SVM RBF,Naive Bayes
1541,0.0,0.011604333092793486,0.001767690981589377,0.0116043203808473,0.0011517073,0.0,0.0,0.0,0.001839797084478673,4.069958600392249e-21,0.0,0.0,0.0,1.0
1029,0.0,0.013116917627229134,0.001767690981589377,0.013116903712989526,0.00118077,0.0,0.0,0.0,0.008531642876957358,4.463687097504377e-20,0.0,0.0,0.0,0.0
2336,0.0,0.009638713548352879,0.0002250425832884357,0.009638702628069094,0.0003666217,0.0,0.0,0.0,-0.0008632176600286822,3.802310895211181e-21,0.0,0.0,0.0,1.0
1030,0.0,0.013116200962167717,4.0402005969466744e-06,0.013116187421647135,0.00035287585,0.0,0.0,0.0,-0.00665796380369151,1.2033802312481921e-21,0.0,0.0,0.0,0.0
182,1.0,0.016128891613799885,0.02096160240607453,0.01612887521523554,0.0037471417,0.0,0.0,0.0,0.021920857286762595,1.704342808209004e-19,0.0,0.0,0.0,1.0
131,0.0,0.016302784533761366,0.00040472227925780557,0.016302768298595297,0.00021033364,0.0,0.0,0.0,-3.6961572226336045e-05,7.308633459953583e-21,0.0,0.0,0.0,1.0
718,0.0,0.014156146505091572,0.0018210011737588398,0.01415613178653197,0.00368814,0.04,0.0,0.0,0.018750600538254558,1.2071090741922887e-19,0.0,0.0,0.0,1.0
1356,0.0,0.012153039686959367,2.4187802847444698e-05,0.012153026799202932,0.0003241848,0.0,0.0,0.0,-0.004369752575054281,1.67446947048276e-21,0.0,0.0,0.0,0.0
949,0.0,0.013398487877955513,0.0006594882592860161,0.013398473796413573,0.00054691156,0.0,0.0,0.0,0.0006032098172976084,6.49239405470595e-21,0.0,0.0,0.0,1.0
1590,0.0,0.011488136620018519,0.0006594882592860161,0.01148812416144414,0.00047943616,0.0,0.0,0.0,-0.0026128091986309526,3.9063174616721095e-21,0.0,0.0,0.0,0.0
85,0.0,0.016471348207602998,1.979937380122441e-05,0.016471332146597246,0.00021033364,0.0,0.0,0.0,-0.00570899218697527,2.7179077940426447e-21,0.0,0.0,0.0,0.0
287,0.0,0.015700818064450086,1.858613966000951e-05,0.015700802438432776,0.00030342318,0.0,0.0,0.0,-0.00413154914393484,1.2625110161976338e-21,0.0,0.0,0.0,1.0
2232,0.0,0.009869588498012496,9.614845084962433e-08,0.009869577722434714,0.0003666217,0.0,0.0,0.0,-0.011030071278971964,5.289452034685515e-22,0.0,0.0,0.0,0.9999999999999414
295,1.0,0.015640220157143784,0.38484172579833065,0.01564020389076889,0.16296387,0.11,0.0,0.0,0.02634335647332027,4.0230894016553797e-19,0.0,0.0,0.0,1.0
