,Actual,Logistic Regression,Stepwise Logistic Regression 3,Stepwise Logistic Regression,XGBOOST,Random Forest,NN,KNN-5,Lasso,LDA,SVM Linear,SVM Poly,SVM RBF,Naive Bayes
356,1.0,0.5672354107691281,0.5929239765650957,0.5672307031746551,0.5157063,0.45,1.0,0.6,0.5992917122775847,0.6783136332217939,1.0,1.0,1.0,1.4469571285060526e-05
1646,0.0,0.5721958166517687,0.32774582500915245,0.5721907715565324,0.0597104,0.02,0.0,0.0,0.2499374475417941,0.1310609670783496,1.0,1.0,1.0,2.2535141557806362e-08
2201,1.0,0.5743066406863649,0.9898232838303176,0.5743014513230046,0.98556095,0.97,1.0,1.0,0.9406169013370067,0.9633312714322122,1.0,1.0,1.0,1.0
1878,1.0,0.5731202911735145,0.7763969360684012,0.5731151827671075,0.75663596,0.4,1.0,0.6,0.5776857814058142,0.6370298239296587,1.0,1.0,1.0,0.00013702818035469041
1259,0.0,0.5707115533350999,0.28442760901215897,0.5707066090025501,0.09340182,0.05,0.0,0.2,0.32301091489056366,0.2063660270680604,1.0,1.0,1.0,5.772067949524297e-08
196,1.0,0.5665696206566587,0.3792673760720089,0.566564958506758,0.5437701,0.62,1.0,1.0,0.5321105974879156,0.5614830782778218,1.0,1.0,1.0,1.4263995075515932e-05
266,1.0,0.5668561259425744,0.32774582500915245,0.5668514439846486,0.74300086,0.7,1.0,0.6,0.717053978444496,0.834234682014588,1.0,1.0,1.0,6.094788182887892e-05
1002,0.0,0.5697151564905243,0.5929239765650957,0.5697102796144627,0.60455674,0.79,1.0,0.8,0.55377271521037,0.5977997047025403,1.0,1.0,1.0,4.1147245413493236e-05
156,1.0,0.5663998199344232,0.9957056405778123,0.5663951683530714,0.9894077,1.0,1.0,1.0,1.0020813406223248,0.9771651085081735,1.0,1.0,1.0,1.0
206,1.0,0.566617375033445,0.5929239765650957,0.5666127091916099,0.88832337,0.91,1.0,0.6,0.7602826091256919,0.87423440856519,1.0,1.0,1.0,0.0002479693527810759
1960,1.0,0.573413654973999,0.9898232838303176,0.5734085262114886,0.9915808,1.0,1.0,1.0,0.9804421450235259,0.9729747070706048,1.0,1.0,1.0,1.0
1975,0.0,0.5734832433994962,0.5114460568646411,0.5734781106079038,0.57910126,0.63,1.0,0.6,0.5324713452302119,0.5560786612986829,1.0,1.0,1.0,2.4700380513048405e-05
1771,0.0,0.5727272969104947,0.19165325026862864,0.5727222157993757,0.15768202,0.24,1.0,0.6,0.2702460565648697,0.15627426407710635,1.0,1.0,1.0,4.696476901013215e-07
2263,1.0,0.5745540186581466,0.3792673760720089,0.5745488135096848,0.26718545,0.34,0.0,0.4,0.36421255774802463,0.2611768687322662,1.0,1.0,1.0,4.212503777033349e-06
